appid,tags
6020,Action;Adventure;Character Customization;Classic;Female Protagonist;Fighting;First-Person;FPS;Great Soundtrack;Hack and Slash;Moddable;Multiplayer;RPG;Sci-fi;Shooter;Singleplayer;Story Rich;Swordplay;Third Person;Third-Person Shooter
6030,Action;Adventure;Atmospheric;Classic;Cult Classic;First-Person;FPS;Great Soundtrack;Hack and Slash;Local Multiplayer;Moddable;Multiplayer;Sci-fi;Shooter;Singleplayer;Space;Story Rich;Swordplay;Third Person;Third-Person Shooter
6040,1990's;Adventure;Aliens;Beautiful;Cinematic;Classic;Great Soundtrack;Pixel Graphics;Point & Click;Puzzle;Remake;Retro;Sci-fi;Singleplayer;Story Rich;Third Person
6060,Action;Addictive;Adventure;Classic;Co-op;Epic;First-Person;FPS;Great Soundtrack;Military;Moddable;Multiplayer;Sci-fi;Shooter;Singleplayer;Space;Strategy;Tactical;Third Person;Third-Person Shooter
6080,Action;Adventure;Building;Casual;Classic;Co-op;Dating Sim;Funny;Great Soundtrack;Local Multiplayer;Management;Racing;Simulation;Singleplayer;Strategy
6090,Action;Classic;Comedy;Funny;Shooter;Singleplayer;Third-Person Shooter
6120,2D;Action;Adventure;Beat 'em up;Cartoon;Co-op;Controller;Gore;Great Soundtrack;Hack and Slash;Indie;Local Co-Op;Local Multiplayer;Multiplayer;Old School;Platformer;Short;Side Scroller;Singleplayer;Violent
6200,Classic;Comedy;Funny;Great Soundtrack;Horror;Management;Puzzle;Sandbox;Simulation;Singleplayer;Strategy;Supernatural;Tactical;Villain Protagonist
6210,Management;Simulation;Strategy
6220,Action;Arcade;Automobile Sim;Combat Racing;Controller;Destruction;Difficult;Driving;Funny;Minigames;Multiplayer;Offroad;Old School;Physics;PvP;Racing;Retro;Simulation;Singleplayer;Vehicular Combat
6250,Action;Grand Strategy;Historical;Multiplayer;Singleplayer;Strategy;Turn-Based;Turn-Based Strategy;World War II
6270,Bikes;Motorbike;Racing;Simulation;Singleplayer
6300,Action;Adventure;Atmospheric;Beautiful;Choices Matter;Cyberpunk;Escape Room;Fantasy;Female Protagonist;Futuristic;Great Soundtrack;Nudity;Puzzle;RPG;Sci-fi;Sequel;Sexual Content;Singleplayer;Story Rich;Third Person
6310,1990's;Adventure;Atmospheric;Classic;Comedy;Cult Classic;Cyberpunk;Fantasy;Female Protagonist;Funny;Futuristic;Great Soundtrack;Point & Click;Puzzle;Remake;Retro;Sci-fi;Singleplayer;Story Rich;Third Person
6370,Action;Competitive;Fast-Paced;Free to Play;Massively Multiplayer;MOBA;Multiplayer;PvP;RPG
6400,Action;Military;RTS;Strategy
6420,Atmospheric;Classic;Cult Classic;Indie;Moddable;Multiplayer;Real Time Tactics;Real-Time with Pause;RTS;Sci-fi;Simulation;Singleplayer;Space;Spaceships;Strategy;Tactical
6510,Action;Adventure;Aliens;Atmospheric;Classic;Co-op;Mechs;Multiplayer;Robots;Sci-fi;Shooter;Singleplayer;Snow;Third Person;Third-Person Shooter
6600,Arcade;Bullet Hell;Casual;Indie;Shoot 'Em Up;Twin Stick Shooter
6800,1990's;Action;Classic;Co-op;Difficult;Historical;Isometric;Military;Multiplayer;Real Time Tactics;Retro;RTS;Singleplayer;Stealth;Strategy;Tactical;War;World War II
6810,1990's;Action;Classic;Difficult;Isometric;Military;Real Time Tactics;RTS;Stealth;Strategy;Tactical;War;World War II
6830,Action;Classic;Co-op;Difficult;Isometric;Military;Multiplayer;Old School;Real Time Tactics;Retro;RTS;Singleplayer;Stealth;Strategy;Tactical;War;World War II
6840,Action;Co-op;Military;Real Time Tactics;RTS;Stealth;Strategy;Tactical;War;World War II
6850,Action;Adventure;Assassin;Atmospheric;Classic;Crime;Difficult;First-Person;FPS;Gore;Great Soundtrack;Old School;Sandbox;Shooter;Singleplayer;Stealth;Story Rich;Tactical;Third Person;Third-Person Shooter
6860,Action;Assassin;Atmospheric;Classic;Crime;Cult Classic;Dark;Difficult;First-Person;Great Soundtrack;Puzzle;Replay Value;Sandbox;Shooter;Simulation;Singleplayer;Stealth;Strategy;Third Person;Third-Person Shooter
